,"
PROGRAMAÇÃO DIÁRIA",,,,,,,
,"Semana de:
",setembro 3,,Defina a data de início na célula C2. As linhas 3 e 4 serão atualizadas automaticamente com as datas e os dias da semana.,,,,
,,03/09,04/09,05/09,06/09,07/09,08/09,09/09
,,DOMINGO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA,SÁBADO
,8h0 ,dscdscds,sdcdscds,sdcsdc,dscsdcds,csdcsd,cdscds,cdscsd
,8h30 ,,,,,,,
,9h0 ,,,,,,,
,9h30 ,,,,,,,
,10h0 ,,,,,,,
,10h30 ,,,,,,,
,11h0 ,,,,,,,
,11h30 ,,,,,,,
,12h0 ,,,,,,,
,12h30 ,,,,,,,
,13h0 ,,,,,,,
,13h30 ,,,,,,,
,14h0 ,,,,,,,
,14h30 ,,,,,,,
,15h0 ,,,,,,,
,15h30 ,,,,,,,
,16h0 ,,,,,,,
,16h30 ,,,,,,,
,17h0 ,,,,,,,
,17h30 ,,,,,,,
,18h0 ,,,,,,,
,18h30 ,,,,,,,
,,,,,,,,
,OBSERVAÇÕES,,,,,TAREFAS,,